pathway	DMG2400338	DMG2400339	DMG2400340	DMG2400341	DMG2400342	DMG2400343	DMG2400344	DMG2400345	DMG2400346	DMG2400347	DMG2400348	DMG2400349	DMG2400350	DMG2400351	DMG2400352	DMG2400353	DMG2400354	DMG2400355	DMG2400356	DMG2400357	DMG2400358	DMG2400359	DMG2400360	DMG2400361	DMG2400362	DMG2400363	DMG2400364	DMG2400365	DMG2400366	DMG2400367	DMG2400368
CALVIN-PWY	640.305061711168	1756.8290194426356	1575.4053839840294	1487.9810782192199	1968.6962002883138	2025.5615267244846	2474.1499877309006	1803.5549549783143	2125.265076388212	3005.2111467802424	2122.3541314188315	1953.1593245230379	1807.7062811099267	1268.9973716485279	328.61627209504144	267.5450679860229	250.9876256316025	504.7989317701666	368.49063978698337	653.569688340422	490.5635248206013	6980.440394861341	448.7373471036875	137.1143376259542	186.78771928970343	362.43896616153353	482.5037435625512	382.25020147312085	6887.897754197053	827.6844546785435	90.7019252174138
COA-PWY	545.25	2997.5603252968144	1159.497696447611	1023.4830496990253	1448.365544715118	5370.28258557566	3531.6602822051723	1692.8454504593033	2147.7567539862944	5977.149577564935	2046.8026348989708	1535.247383515112	1950.5566723375591	1794.7833765107514	351.5	286.8287641427328	153.0	504.5	307.5420389926889	480.60693866943865	400.23235481320296	5145.033850820244	371.0	120.5	121.06201550387597	336.25	352.95321327683615	348.6551971326165	13799.17934935959	648.9000577145056	325.07705611068405
COBALSYN-PWY	215.49673960378888	212.63037420382167	939.9122106193443	873.9112105161605	1357.6565609792792	380.2200931317061	874.2189024674399	849.9042298636414	997.0858589784447	835.2485919162045	1047.8422708094624	1081.3526638049862	699.055970180188	399.91305132143196	176.93496051687004	101.59588219001016	129.07726864330638	278.7793222287206	243.88045427375968	421.1758427704731	340.9821337672066	4041.301518043983	314.24447541309974	33.078918117821416	0.0	175.25012506253128	329.0674093394579	179.1946608002854	1660.332252954337	608.3922098160258	15.439330543933057
CODH-PWY	0.0	0.0	13.921777721017849	12.921704887653464	0.0	0.0	0.0	0.0	0.0	10.989928835989845	0.0	14.9315451923428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.78047734743462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COLANSYN-PWY	191.2708519120404	630.7105325461556	382.58349114161234	238.9565497761347	350.5496481318099	236.9999849025354	519.7393475312592	515.6946772343454	500.622924359939	227.7148407559175	562.5500619568727	460.1931828958582	421.61761597072996	287.19128506949005	34.55149782295883	108.37726632089439	22.903865946508716	109.98070246550459	92.45718409497582	103.94112661396946	85.16071642727508	1684.1048318383089	46.74845511653482	59.36942457532083	0.0	64.32544968096423	62.16893181878805	106.10155959956019	993.300055775997	71.58882653610934	41.913004953531726
COMPLETE-ARO-PWY	362.48021952043143	691.4337164844414	1348.9614615045205	1266.5746865469337	1742.0047905513245	720.3264155308317	1301.0744813224496	1275.8558659645792	1415.9503997621557	1282.9007961846703	1439.996443112446	1467.9014539780212	1079.8978817588131	674.5553992074523	228.83647946449554	150.47252686054938	127.77422865545236	394.50066793402794	327.1382950756837	566.7332850611137	422.5570879652505	6312.668267299288	404.7152860993156	73.16803946867257	165.05911386385216	307.0039868093197	465.21615781387885	272.09932482100805	2781.2322980052677	797.3702408968234	32.858382706078
DAPLYSINESYN-PWY	426.04721675673966	730.5257564989897	1279.2317409786233	1188.0505387043745	1680.0397729635818	1032.1477732894973	1697.0186186413225	1303.8628074797698	1775.34762536034	1418.7423668479298	1697.4460231322694	1561.1300046708625	1513.2374745010898	977.4670813335903	262.73677460586754	207.07569590513612	180.39683927044368	448.13593108427256	333.0112722517944	544.4793408412518	435.95647511757255	5652.7531874037095	410.05633266787027	77.57540180926199	114.98159273495166	319.30347195988605	425.40024301510334	301.6096942720836	3024.522800097056	775.133290530636	58.23722591580728
DENOVOPURINE2-PWY	501.86712367353414	1852.773483450372	558.5700037089141	368.7194830956114	598.0869921960102	2276.875809821232	2352.0113935866057	963.9726939769309	1958.1555216668596	1553.2171680488216	1703.0817458198903	1105.1858543003862	1937.3667973543606	1778.3457238498113	235.9611284690116	301.42736718452977	47.995919228414735	426.87753712711736	166.69520692405575	226.97290326360272	187.25824291723555	2632.8482718012974	135.0996477765394	103.40831779707987	0.0	277.4621924165985	0.0	332.15929359888764	3602.9326190999577	174.41344242533165	380.19330604674457
DTDPRHAMSYN-PWY	391.1822912497757	2369.435064645564	1066.2545708727864	978.6302839003912	1456.131305529589	4548.505578572506	2664.203842494906	1461.4148942997674	1383.1152543575188	5575.240207467869	1443.9642175390645	1293.3917405581592	1058.3460816315153	858.808176177174	286.191087613293	152.61330409356725	145.37541528239203	336.1192467221557	255.21939872428138	457.94428520278666	323.29578566598656	4979.359691330393	365.36140151812907	85.09111617312072	161.0	267.42659076906085	396.43828337874663	268.47825330675573	13083.505331752734	615.0164104249221	39.77478134110787
FASYN-ELONG-PWY	530.6820304807084	1627.5987768571038	670.9641642238186	257.50315529666943	637.7906224335809	1665.9320119387612	1746.674718974163	970.6818568448867	1552.339179699986	1014.1346336787911	1399.988373632001	564.4600600860546	1586.7555119601247	1673.3531485772482	219.34304864950286	304.82510215052247	64.16588873141593	415.2344631711302	181.99073687752716	167.80592981675562	201.20050924578686	2656.28069719225	180.94068940148122	125.98222851972618	152.71928399824046	260.05187707997567	120.1516428443586	329.13330961264865	2491.773566910049	201.74081537366456	375.16513408498145
